company_name,industry,website,city,state,zip_code,phone,year_incorporated,company_age_years,executive_officers,board_directors,total_funding,latest_funding_amount,latest_funding_stage,latest_funding_date,Total Approvals,Total Denials,Approval_Rate,median_salary_offered,top_job_titles_sponsored,emails
ELECTROPREMIUM,Computers,electropremium.com,FULLERTON,CA,92833,(657) 253-8274,2017,8,khurram afzal,,,,,,,,,,,info@electropremium.com
ELEMENO HEALTH INC,Other Technology,elemenohealth.com,OAKLAND,CA,94601,(510) 220-1595,2016,9,"Arup Roy-Burman, Linda Hand, Scott Cohen","Alan Kelley, Arrun Kapoor, Crista Bailey, Ted Ridgway",22723628,5000000,Seed,16-11-2023,,,,,,info@elemenohealth.com
ELEMENTUS INC,Other Technology,elementus.io,NEW YORK,NY,10016,(917) 499-4711,2018,7,"Max Galka, Mike Kalomeni, Nuria Gutierrez Prunera","Anthony Pompliano, Greg Barbaccia, Michael Lazerow, Vladimir Jelisavcic",15299995,11799995,Series A,13-05-2021,,,,,,hello@elementus.io
ELEVAT INC,Other Technology,elevat.com,Lynnwood,WA,98087,(425) 747-0927,2015,10,"Adam Livesay, William Hill","James Kinsella, Michael Matysik",17465000,14465000,Series A,16-11-2020,,,,,,ydimitrov95@gmail.com
ELEVIAN INC,Other,elevian.com,MENLO PARK,CA,94025,(650) 906-9466,2017,8,"Casey J McGlynn, Luis Alvarez, Mark Allen, Sebastian Giwa","Daniel Marshak, Suzanne Fletcher",15382132,15382132,Series B,07-07-2020,,,,,,info@elevian.com
ELIAZ THERAPEUTICS INC,Other Health Care,eliaztherapeutics.com,SANTA ROSA,CA,95401,(707) 542-5900,2015,10,Isaac Eliaz,,2000000,2000000,Seed,09-11-2016,,,,,,info@eliaztherapeutics.com
ELIGIBLE INC,Other Technology,eligible.com,San Francisco,CA,94123,(888) 909-3055,2011,14,Katelyn Gleason,,2602976,2602976,Seed,14-01-2015,,,,,,support@eligible.com
ELIOTNEST INC,Other Technology,eliotnest.com,NEW YORK,NY,10001,(860) 810-5257,2025,0,Jeffrey Stephen Ferketic,"Auren Stephen Hoffman, Fahim Stephen Ferdous",9500000,9500000,Series A,31-03-2025,,,,,,tips@eliotnest.com
ELISIFY INC,Other Technology,elisify.com,BOSTON,MA,2110,(857) 600-2005,2019,6,Christina Qi,Luca Lin,3300000,3300000,Seed,23-07-2019,,,,,,info@databento.com
ELITE HEALTH SYSTEMS INC,Other Health Care,elitehealthsystems.com,Ontario,CA,91762,(800) 958-1128,,,"Alan Gold, Prasad Anjaneya Jeereddi","Alan Gold, Haranath F. Policherla, William F Leimkuhler, William F St. Lawrence, William F. Leimkuhler, William F. St. Lawrence",5500000,5500000,Series A,16-01-2024,,,,,,investor@elitehealthplan.com
ELLIPSE WORLD INC,Other Technology,ellipse-world.com,CULVER CITY,CA,90232,(424) 298-8284,2017,8,"Cyril Lalo, Gabrielle Levy, Sebastien Pochic","Jacques Essebag, Yves Sisteron",28575000,22075000,Series B,20-09-2022,4,0,100,55000,['Jr. Accountant'],contact@ellipse-world.com
ELISITY INC,Other Technology,elisity.com,SAN JOSE,CA,95119,(602) 421-4328,,,"Brian Thompson, James Winebrenner","Brian Long, Michael Goguen, Spencer Tall, Stephen Ward",42979284,42979284,Series B,26-03-2024,2,0,100,135000,['SENIOR SOFTWARE ENGINEER'],support@elisity.com
ELOVEE INC,Other Technology,elovee.co,NEW YORK,NY,1001,(650) 838-4300,2019,6,"Paul Campbell, Stefano Santarelli","Ashkan Afkhami, Bryan Marcovici, Chris Ferrera, John Mozas, Robert Ezer",41480530,41480530,Series A,20-05-2020,,,,,,snuggle@elovee.co
ELSEN INC,Other Technology,elsen.com,BOSTON,MA,2108,(470) 223-5736,2014,11,"Ryan C. Johnson, Zachary R. Sheffer",Justin L. White,1750000,1750000,Pre-Seed,31-07-2017,,,,,,xpress@elsen-logistics.com; info@elsen-logistics.com
ELYSIUM HEALTH INC,Other,elysiumhealth.com,NEW YORK,NY,10012,(888) 220-6436,2015,10,"Daniel Alminana, Eric Marcotulli","David P. Fialkow, Jim P. Manzi",22000000,22000000,Series B,27-10-2016,,,,,,press@elysiumhealth.com
EMBARK CORP,Other Technology,embark.com,NEW YORK,NY,10022,(646) 590-4210,,,"David Lieberman, Peter Benz, Raza Kahn, Sarita James, Vishal Garg",,,,,,,,,,,help@embark.com
ELLEVEST INC,Investing,ellevest.com,NEW YORK,NY,10010,(844) 355-7100,2014,11,"Charles Kroll, Sallie Krawcheck","Catherine Odelbo, Jenny Abramson, Rochelle King",84950255,12311327,Series A,30-10-2020,,,,,,gs-custodysolutions@gs.com; support@betterment.com
EMBER GARDENS HOLDINGS LLC,Other,embergardens.com,SOMERSET,MA,2726,(774) 488-9226,2021,4,Shane Hyde,,1000000,1000000,Pre-Seed,14-12-2021,,,,,,careers@embergardens.com
EMBODIED INTELLIGENCE INC,Other Technology,embodied-intelligence.com,EMERYVILLE,CA,94608,(510) 367-5454,2017,8,Xi Chen,"Michael Volpi, Pieter Abbeel, Sunil Dhaliwal",9499962,9499962,Series A,11-06-2021,,,,,,embodiedintelligence3@gmail.com
EMBOLINE INC,Other,emboline.com,SANTA CRUZ,CA,95060,4084162450 X102,,,"Amir Belson, Elton D. Satusky, Elton Satusky, J. Casey D. McGlynn, J. Casey McGlynn, Scott Russell","Eric Xiao, Issam D. Moussa, Issam Moussa, Nicholas Pappas, Peng Cheng, William Dai",75068800,60067800,Series C,21-05-2021,,,,,,info@emboline.com
EMBER PROCESSING LLC,Other Technology,emberprocessing.com,DEER PARK,NY,11729,(631) 940-4052,2021,4,"Daniel Giacopelli, Mark Lewis",John Donnelly,3000000,3000000,Pre-Seed,10-11-2022,,,,,,grow@emberprocessing.com
EMERGY INC,Other,emergy.com,Chicago,IL,60609,(970) 445-0757,2014,11,"Justin Whiteley, Tyler Huggins",,4810000,4810000,Seed,16-04-2019,,,,,,post@emergy.com; hr@emergy.com
EMICS INC,Other Technology,emics.com,SAN FRANCISCO,CA,94107,(929) 322-4255,2012,13,"Qian Wang, Sarah Chou","Alex Wolf, Maurice J Duca",9490585,9490585,Series A,21-07-2016,,,,,,csy@systempia.com
EMBODIED INC,Other Technology,embodied.com,PASADENA,CA,91101,(310) 883-6400,2016,9,"Maja Mataric, Paolo Pirjanian, Steve Hisey, Will Pohle","Andrew Firlik, Divya Venkatavaraghavan, Emma Arakelyan, Jason Schoettler, John Lee, Robert Adelson, Tammi Smorynski",90900325,24999992,Series B,18-11-2022,,,,,,hi@moxierobots.com
EMIT IMAGING INC,Biotechnology,emitimaging.com,Natick,MA,1760,(617) 959-0099,,,Matthew Silva,"Christian Lackas, Jack Hoppin, William Parfet",12600293,12600293,Series A,19-09-2024,,,,,,info@emitimaging.com
EMO LABS INC,Other Technology,emo-labs.com,WELLESLEY,MA,2481,(781) 237-7600,,,STEFAN BOKAMPER,"CARL J. NOVOTNY, EDWARD J. STEWART, JOHN J. HAMM, STEPHEN J. SCHWEICH",3000000,3000000,Pre-Seed,29-05-2015,,,,,,contact@emo-labs.com
EMOTIVE SOFTWARE INC,Other Technology,emotivesoftware.com,FORT WORTH,TX,76109,(817) 991-1900,2022,3,"Steven Allen Hall, William Allen Dobbins","Brett Allen Scarbrough, David Allen May, Steven Allen Hall, Steven Allen Purvis, Steven R Purvis",12650000,3250000,Seed,03-06-2025,,,,,,sales@emotivesoftware.com
EMPATHETICS INC,Other Health Care,empathetics.com,BOSTON,MA,2111,(844) 407-2755,2011,14,"Helen Riess, Tessa Misiaszek","Joseph Mandato, Nathaniel Opperman, Peter McNerney",1500000,1500000,Pre-Seed,22-04-2015,,,,,,info@empathetics.com
EMPATICA INC,Other Technology,empatica.com,CAMBRIDGE,MA,2142,(617) 648-9100,,,Matteo Lai,"Mario Scuderi, Rosalind Picard, Simone Tognetti",33949997,33949997,Series B,21-07-2022,,,,,,info@empatica.com; sales@empatica.com; press@empatica.com
EMPIRE GENOMICS LLC,Other Health Care,empiregenomics.com,BUFFALO,NY,14203,(716) 856-3857,,,Anthony Johnson,"Daniel Penberthy, Edward Chait, Michael B. Sexton, Norma Nowak",2000000,2000000,Pre-Seed,13-06-2014,,,,,,info@empiregenomics.com
EMPIRICAL SECURITY INC,Other Technology,empiricalsecurity.com,CHICAGO,IL,60612,(312) 380-5083,2024,1,"Edward Bellis, Jason Jacobs","John Cowgill, Michael Roytman",12449888,12449888,Series A,23-08-2024,,,,,,info@empiricalsecurity.com
EMPIRICAN GROUP INC,Other Health Care,empirican.com,BUFFALO,NY,14203,(800) 720-5430,2014,11,"David J Hicks, David j Hicks, Irfan A Khan, James C Papineau, Jason A Jankowiak, Kerry A Hicks, Lencke J Steven, Raymond J Stapell, Raymond j Stapell, Richard J Ruh, Steve J Lencke","Andrew A Brooks, Craig A Lipset, Kerry A Hicks, Kerry J Hicks, Kerry R Hicks, Mats A Wahlstrom, Mats J Wahlstrom, Mats R Wahlstrom, Thomas J Pappas",7450000,1900000,Pre-Seed,20-05-2019,,,,,,support@empirican.com
EMOVID CORP,Other Technology,emovid.com,SEATTLE,WA,98119,(425) 243-3697,2023,2,"Digvijay Chauhan, Rupali Pathania, Victor Cho",Nancy Cho,14000000,7000000,Seed,08-05-2024,,,,,,support@emovid.com
EMPLOVA LLC,Other,emplova.com,MELVILLE,NY,11747,(631) 309-0446,2018,7,Peter J. Dembrowski,,2000000,2000000,Pre-Seed,05-04-2019,,,,,,employees@emplova.com
EMPYREAN CLUB LLC,Other,empyreanclub.com,BROOKLYN,NY,11237,(954) 531-7030,2023,2,"Jessie Singer, Lucas Katler, Max Hunter",,,,,,,,,,,Info@TheMainNorfolk.com
EMSANACARE INC,Other,emsanacare.com,CHICAGO,IL,60654,(855) 799-1211,2021,4,Dane Guarino,"Arnold Milstein, Elizabeth Mitchell",2000000,2000000,Pre-Seed,10-12-2024,,,,,,info@emsanacare.com
EMULATE INC,Biotechnology,emulate.com,BOSTON,MA,2210,(617) 704-9222,2013,12,"Daniel D. Levner, Daniel Levner, Daniel R. Levner, David James Coon, Geraldine A. Hamilton, Geraldine Hamilton, Gregory D. Williams, Harminder R. Dhaliwal, James Corbett, Larry Weiss, Monique Noel, Monique R. Noel, Sandy R. Lazzari, Scott Kantor","Aaron A. VanDevender, Aaron D. VanDevender, Aaron VanDevender, Andrew D. Stevenson, Donald Ingber, Eric A. Moessinger, Eric D. Moessinger, Eric Moessinger, Franklin R. Witney, Franklin Witney, Hansjoerg D. Wyss, Martin Madaus, Michael Egholm, Sharon Kedar, Sharon R. Kedar, Shlomo A. Melmed, Shlomo D. Melmed, Shlomo Melmed",220499995,57499997,Series C,23-08-2021,,,,,,admin@emulate.com; admin2@emulate.com; admin1@emulate.com
EN SOLUCION INC,Other Technology,ensolucion.com,AUSTIN,TX,78729,(512) 777-1616,,,"Alex Athey, Lara Kirkham","Michael Hyche, Shay Braun",9976500,9976500,Series A,27-02-2025,,,,,,info@ensolucion.com
ENABLE MEDICINE INC,Biotechnology,enablemedicine.com,MENLO PARK,CA,94025,(408) 585-9256,2019,6,Sunil Bodapati,Aaron Mayer,3624996,3624996,Seed,07-08-2020,,,,,,bd@enablemedicine.com
ENCLEAR THERAPIES INC,Other,encleartherapies.com,CAMBRIDGE,MA,2139,(603) 343-8504,,,Anthony DePasqua,"Jason Camm, Jonathan Fleming, Kasper Roet",1999996,1999996,Pre-Seed,22-02-2024,,,,,,info@encleartherapies.com
ENCORE ENTERPRISES INC,Investing,encore-enterprises.com,PLANO,TX,75024,(214) 259-2474,,,"Bharat Sangani, Patrick Barber",,10050000,10050000,Series A,15-09-2020,,,,,,info@encore-enterprises.com
ENCOURAGE CAPITAL LLC,Investing,encouragecapital.com,NEW YORK,NY,10010,(212) 974-0111,,,"Adam Wolfensohn, Brad Schwartz, Jonathan Morris","Alexis Sant, Ion Yadigaroglu, Jason Scott, Larry Lunt, Ricardo Bayon",,,,,,,,,,info@encouragecapital.com
ENDALGO INC,Other,endalgo.com,LOS ANGELES,CA,90013,(213) 905-3488,2016,9,"Eung Hyun Kim, Jun Ha Yoon","Christopher Keunjung Yoon, Jiwoon Hyun Choi, Yen Hyun Hyun Yoon",3000012,3000012,Seed,13-08-2018,,,,,,help@endalgo.com
ENDEAVOR BIOMEDICINES INC,Biotechnology,endeavorbiomedicines.com,San Diego,CA,92130,(858) 537-1700,2018,7,"Chris Krueger, Enoch Kariuki, John Hood, Miguel de los Rios, Raghu Saripalli, Vishaal Turakhia","Bernard Davitian, Karan Cheong Takhar, Monal Cheong Mehta, Patrick G. Enright, Wing Cheong Lam",233583891,132583908,Series D+,22-04-2024,,,,,,info@endeavorbiomedicines.com; audrafriis@sambrown.com
ENDEAVOR CAPITAL LLC,Other Banking and Financial Services,endeavor.com,BOSTON,MA,2130,(617) 971-9700,,,,"Anthony Borghi, Christopher M. Anderson, Kurt G. Stenhouse",10000000,10000000,Pre-Seed,03-02-2016,,,,,,kstenhouse@endeavor.com; acborghi@endeavor.com
ENABLE DENTAL INC,Other Health Care,enabledental.com,AUSTIN,TX,78751,(866) 815-3719,2016,9,"Benjamin Tiggelaar, Paul Langley","Denise Marks, Kirill Zaydenman, Matthew A. King, Matthew King, Nathan Moore, Nathan Suter",31349502,17969283,Series A,21-10-2024,,,,,,info@enabledental.com
ENDOCELLUTIONS INC,Other Health Care,endocellutions.com,MARSHFIELD,MA,2050,(617) 448-2142,,,"Andrew McGillicuddy, Emmett Lyne, Neil Duffy","Frank Coccoluto, Jeffrey Chabot, Joe Caruso, William Crowley",2000012,2000012,Pre-Seed,18-11-2016,,,,,,neil@endocellutions.com
ENDOTRONIX INC,Other Health Care,endotronix.com,LISLE,IL,60532,(630) 473-3200,,,"Anthony A. Nunez, Anthony I Nunez, Anthony Nunez, Harry Rowland, John Flavin, Kent Elmer","Fouad Azzam, Gerry Brunk, James Hummer, James J. Hummer, Jennifer McMahon, Jonathan A. Jonas, Jonathan R. Jonas, Leslie A. Saxon, Leslie R. Saxon, Marc Goldberg, Paul LaViolette, Raymond S. Barrett, Jr., Robert Zieserl, Sam R. Leno",187388969,45000111,Series B,14-09-2018,8,0,100,135300,['Supply Chain and Production Manager'],info@endotronix.com
ENERGY HIRE LLC,Other Energy,energyhire.com,FORT WORTH,TX,76102,(817) 928-3322,,,"Michael McCown, Ryan Vinson, Steven Winkler",Larry Brogdon,3000500,3000500,Seed,17-06-2025,,,,,,sales@energyhire.com; support@energyhire.com
ENERNET GLOBAL INC,Other Energy,enernetglobal.com,NEW YORK,NY,10075,(917) 379-9818,,,"Brian Gardner, Paul Matthews","Michael Oster, Steven Hellman",16000000,8000000,Series A,14-09-2020,,,,,,enernetsales@enernetglobal.com
ENERGYSAGE INC,Energy Conservation,energysage.com,BROOKLINE,MA,2445,(617) 794-6655,2013,12,Vikram Aggarwal,"Alison Gail Ernst, C. Gail Greenwald, Robert M. Gervais, Robert M. Gervis, Tibor Gail Toth",7000000,3500000,Seed,30-03-2018,,,,,,media@energysage.com
ENERTIV INC,Other Technology,enertiv.com,NEW YORK,NY,10003,(646) 350-3525,,,"Albert Liu, Connell J. McGill, Connell McGill, Pavel Khodorkovskiy","Eldon Klaassen, Glen Lewy, Nate Loewentheil, Thomas Blum",16191859,11399803,Series A,13-01-2022,,,,,,info@enertiv.com; sales@enertiv.com
ENEURA INC,Other Technology,eneura.com,SUNNYVALE,CA,94085,(408) 245-6400,2012,13,"David Fischell, David Rosen, Phillip Torrence, Robert Fischell, Terese Baker","David Oros, Eileen O'Rourke, Jeffrey Mathiesen, Michael Finnegan, R. Jacob Vogelstein, Robert Kline, Sherrie Perkins, Terry Lierman, Thomas Brooks, William Kirwan",97401797,15000000,Pre-Seed,10-02-2020,,,,,,customercare@eneura.com
ENFOLD INC,Other Technology,enfold.com,WOBURN,MA,1801,(617) 407-9008,,,Inder-Jeet Gujral,"Martin Koehler, Nicolas Salloum",7500000,7500000,Pre-Seed,30-12-2016,,,,,,info@enfold.com
ENGINIUS INC,Other,enginius.com,BOSTON,MA,2108,(512) 782-2299,2020,5,"Ciaran Gillen, Clement Cazalot",Semyon Dukach,4654564,4654564,Seed,23-07-2021,,,,,,info@enginius.com; ENGINIUSSRL@OPEN.LEGALMAIL.IT
ENGIVEN INC,Other Technology,engiven.com,San Diego,CA,92126,(760) 302-4232,2018,7,"Brandon Murphy, David Pelling, Hui Ly, James Lawrence, Justin Greene, Matthew Hayes",Wallace Tsuha,5903485,2700000,Pre-Seed,21-11-2022,,,,,,info@engiven.com
ENGLOBAL CORP,Other,englobal.com,HOUSTON,TX,77079,(281) 878-1000,,,"Darren M. Spriggs, Mark Hess, Roger M. Westerlind, William M. Coskey","Christopher Sorrells, Kevin M. Palma, Lloyd Kirchner",3772450,3772450,Seed,01-02-2023,,,,,,sales@englobal.com
ENKLU INC,Other Technology,enklu.com,ALAMEDA,CA,94501,(415) 854-0371,2016,9,Raymond Kallmeyer,,4151425,4151425,Seed,19-06-2019,,,,,,ray@enklu.com
ENSEMBLE TECHNOLOGIES INC,Other,ensemble-technologies.com,Venice,CA,90292,(310) 993-5917,2021,4,Jacklyn Rome,"Daniel Shani, Mark Johnson",3000000,3000000,Seed,24-03-2021,,,,,,admin@ensemble-technologies.com
ENSPECTRA HEALTH INC,Other Health Care,enspectrahealth.com,MOUNTAIN VIEW,CA,94040,(650) 714-0435,,,Gabriel Sanchez,"Scott Delp, Xuhui Shao",12073600,12073600,Series A,21-02-2019,,,,,,info@enspectrahealth.com
ENTACT BIO INC,Biotechnology,entactbio.com,WATERTOWN,MA,2472,(617) 909-7579,2021,4,Victoria Richon,"Alon Lazarus, Andrew Sinclair, Anna French, Owen Smith, Richard Gaster",80221699,40321700,Series C,19-01-2024,,,,,,contact@entactbio.com; careers@entactbio.com
ENTOUCH CONTROLS INC,Energy Conservation,entouchcontrols.com,RICHARDSON,TX,75080,(214) 501-7921,2011,14,"Eric Denton, Frank Menocal, GREG FASULLO, Greg Fasullo, JAMES WALTON, Jon Bolen","DAVID KIRKPATRICK, DAVID MATTHEWS, David Kirkpatrick, David Matthews, Joel Fontenot, Maureen Ehrenberg, ROBERT CHEFITZ, Richard Chleboski, Robert Chefitz, SCOTT BOXER, Scott Boxer",23900000,1500000,Pre-Seed,28-06-2024,,,,,,support@entouchcontrols.com; info@entouchcontrols.com
ENTRION WIND INC,Manufacturing,entrionwind.com,HOUSTON,TX,77024,(713) 894-6161,2020,5,"Eivind Johnsen, Li Lee",Mike Rydin,3000000,3000000,Pre-Seed,22-12-2022,,,,,,info@entrionwind.com
ENTYTLE INC,Other Technology,entytle.com,AUSTIN,TX,78757,(512) 687-7293,2014,11,"Vivek Joshi, Vivek Madhav Joshi","Dinesh Katiyar, Robert Clarkson, Robert Madhav Clarkson",10548802,2548802,Seed,02-11-2021,,,,,,info@entytle.com
ENVIRO CLEAN GROUP LLC,Environmental Services,envirocleangroup.com,SAN ANTONIO,TX,78209,(210) 826-2250,2013,12,"Buddy Rainey Richardson, Clint W Lord, Gary Rainey Barnett, Herschel Rainey Roberts, Steve Rainey Lemke","G. Rainey Williams, John C Kerr, Matt W Murphy, Steven A Hassmann",4500000,4500000,Seed,31-01-2014,,,,,,sales@enviroclean-ga.com
ENTRY INC,Other Technology,entry.com,NEW YORK,NY,10007,(000) 000-0000,2023,2,"Benedict Nestares Dohmen, Santiago Nestares Lampo",,5957484,5957484,Series A,03-06-2024,,,,,,support@entry.com
ENTOMO INC,Other Technology,entomo.com,BELLEVUE,WA,98006,(425) 467-0433,,,"Sanjoy Chatterji, Suresh Kumar","James Goldfinger, Laurence Seifert, Stockton Rush",5500000,3500000,Seed,31-03-2017,,,,,,channelsupport@e2open.com; customersupport@e2open.com
ENZYME HEALTH INC,Other Technology,enzymehealth.com,AUSTIN,TX,78704,(512) 850-5498,2018,7,"GRIFFIN MULCAHEY, MICHELLE DAVEY",MORGAN FLAGER,1709299,1709299,Pre-Seed,19-11-2018,,,,,,press@wheel.com; support@wheel.com; info@wheel.com
EPALEX CORP,Pharmaceuticals,epalex.com,MOUNTAIN VIEW,CA,94040,6509463366 X700,,,"Arthur Franklin Rice, Brendan Magrab, Steven F Lincoln","Didric Cederholm, Enrique J Carrazana, Jon S Saxe, Jon S. Saxe, Matthew B Smith, Matthew J Smith, Matthew S. Smith, Michael A Rogawski, Michael J Rogawski, Michael Rogawski, Michael S. Rogawski, Randall B Murphy, Randall Murphy, Randall S. Murphy",64796253,14999998,Seed,09-12-2024,,,,,,info@epalex.com
EPC POWER CORP,Other Energy,epcpower.com,POWAY,CA,92064,(858) 748-5590,,,"Allan Abela, Devin Dilley, Ryan Smith",William Graham,6500090,3000000,Seed,21-03-2017,,,,,,sales@epcpower.com
EPHEMERAL SOLUTIONS INC,Other Technology,ephemeralsolutions.com,NEW YORK,NY,10027,(718) 640-8803,2015,10,"Brennal Pierre, Jeffrey Liu, Joshua Sakhai, Seung Shin","Alex Iskold, Benjamin Sun, Brennal Pierre",10145953,6653981,Series A,21-11-2017,,,,,,hello@ephemeral.tattoo; press@ephemeral.tattoo
EPHESOFT INC,Other Technology,ephesoft.com,LAGUNA HILLS,CA,92653,(949) 335-5335,,,"Donald Field, Ilker Kavas","Joe Kaiser, Montgomery Kersten",18750000,18750000,Series B,22-06-2017,,,,,,info@ephesoft.com
EPIBIOLOGICS INC,Biotechnology,epibiologics.com,SAN MATEO,CA,94403,(650) 452-3510,2021,4,"Ann Lee-Karlon, Craig Lichtenstein, Mitchell Mutz, Rami Hannoush","Alexandra Cantley, James Wells, Jason Coloma, Michael Kavanaugh, Samuel Bjork, Seiji Miyahara",123100000,50050000,Series B,21-03-2022,,,,,,BD@epibiologics.com; info@epibiologics.com
EPHOX CORP,Other Technology,ephox.com,PALO ALTO,CA,94303,(650) 292-9659,,,Andrew Roberts,"Gary Kovacs, Jeff Tannenbaum, John Hummelstad, Misha Logvinov",3999999,3999999,Seed,11-04-2018,,,,,,jobs@tiny.cloud
EPICORE BIOSYSTEMS INC,Biotechnology,epicorebiosystems.com,CAMBRIDGE,MA,2139,(857) 529-7776,2017,8,"Alexander J. Aranyosi, JAMES RYAN, JEFF MODEL, JOHN WRIGHT, James J. Ryan, Jeffrey J. Model, John Rogers, John Wright, ROOZBEH GHAFFARI, Roozbeh Ghaffari, STEPHEN LEE, Stephen Lee","JOHN ROGERS, John Rogers, Kimberly Querrey, LAURA LANG, Laura Lang",66000000,35000000,Series B,11-12-2024,,,,,,info@epicorebiosystems.com
EPIGENCARE INC,Biotechnology,epigencare.com,Farmingdale,NY,11735,(516) 888-0071,2017,8,William Lee,,,,,,,,,,,investment@epigencare.com; media@epigencare.com
EPIKAST INC,Other Health Care,epikast.com,Brooklyn,NY,11201,(212) 970-8797,2022,3,Evangelos Vergetis,Stelios Papadopoulos,10000000,10000000,Series A,16-02-2023,,,,,,info@epikast.com
EPIRUS INC,Other Technology,epirus.com,HAWTHORNE,CA,90250,(310) 620-8678,2018,7,"Christi Lewis Cox, Craig Lewis Rosen, Harry Bourne Marr, Harry Marr, James Leighton Madden, Kenneth Leighton Bedingfield, Max Mednik, Nathan Mintz","Alex Bourne Moore, Geoff Lewis Tabachnick, Grant Bourne Verstandig, Grant Verstandig, John Bourne Tenet, John Tenet, Joseph Bourne Lonsdale, Joseph Lonsdale, Karen Bourne Gibson, Mark Bourne Esper",317344883,229506008,Series D+,28-01-2022,,,,,,itsyournames@gmail.com
EPISODE SIX INC,Other,episodesix.com,AUSTIN,TX,78701,(858) 677-1400,2020,5,"Brian Muse-McKenney, Futeh Kao, John Mitchell, Laura Adams, Ross Hamilton, Wai Ming Chermaine Hu","Brian McKenney, Moran Levinovitz, Paul Light, Stephen Harris, Takumi Yoshikawa",48000000,48000000,Series B,28-04-2023,,,,,,compliance@episodesix.com
EPPO DATA INC,Other,eppodata.com,SAN FRANCISCO,CA,94101-5040,(707) 653-0428,2021,4,Chetan Sharma,"Davis Pilosof Treybig, Erik Pilosof Goldman, Naomi Pilosof Ionita",32497966,32497966,Series B,25-04-2024,,,,,,sales@geteppo.com
EPONA VENTURES LLC,Other,epona.com,NEW YORK,NY,10004,(877) 290-4443,2023,2,"Lane Dietmeier, Max Volsky",,2250000,2250000,Seed,05-06-2023,,,,,,sales@epona.com
EQUAL EXCHANGE INC,Other,equalexchange.com,WEST BRIDGEWATER,MA,2379,(774) 776-7400,,,"Brian Albert, Rink Dickinson, Robert Everts","Aaron Dawson, Aaron Elizabeth Dawson, George James Feldmann, Greta James Merrick, Hillary Johnson, Jeff Elizabeth Heinen, Kathryn Hope Kolly, LJ Elizabeth Taylor, LJ Taylor",4999995,4999995,Pre-Seed,08-05-2014,,,,,,info@equalexchange.coop
EQUIDEFI LTD,Other Banking and Financial Services,equidefi.com,NEW YORK,NY,10018,(571) 378-4333,2021,4,"Harvey Kesner, Mohit Bhansali",,,,,,,,,,,support@equidefi.com
EQUILIBRIUM ENERGY INC,Other Technology,equilibrium-energy.com,Boston,MA,2116,(415) 237-3349,2021,4,"Jeffrey Woods, Ryan Hanley",,79999998,40000000,Series B,25-02-2025,,,,,,info@equilibrium-energy.com
EQUIPID INC,Other,equipid.com,NEW YORK,NY,10003,(516) 365-1511,2018,7,"Steve Keltz, Steven Gottfried, Tom Edwards",Matt Gorin,1000000,1000000,Pre-Seed,03-05-2019,,,,,,contact@equipid.com
EPSILON3 INC,Other Technology,epsilon3.io,SANTA MONICA,CA,90403,(424) 209-7005,2021,4,"Aaron Sullivan, Laura Crabtree",Max Mednik,15000000,15000000,Series B,25-05-2022,,,,,,support@epsilon3.io
ER LOGIX LLC,Other Technology,er-logix.com,CHICAGO,IL,60604,(415) 229-1110,2021,4,Michael Wychocki,"Gianfranco Catrini, Greg Carter, Jim Guttosch, John Elliott, Mike Scimeca, Rahesh Mehrotra, Rajesh Mehrotra, Robert Alger",8000000,2000000,Pre-Seed,05-06-2024,,,,,,tim.brankin@eaglerail.com
EQX CAPITAL INC,Other,eqxcapital.com,SAN FRANCISCO,CA,94104,(347) 306-7673,2016,9,Kent R. Johnson,"Kevin R. Landis, Oliver R. Janssen",12400000,12400000,Seed,10-06-2016,,,,,,tnkoane@eqxcapital.com; tnkoane@eqxcapital.com%20
ERGATTA INC,Other Technology,ergatta.com,BROOKLYN,NY,11249,(617) 417-4126,2019,6,"Alessandra Barclay Gotbaum, Prasanna Barclay Swaminathan, Thomas Barclay Aulet",Ian Barclay Sigalow,3000000,3000000,Seed,08-07-2020,,,,,,info@ergatta.com; media@ergatta.com; support@ergatta.com; support@waterrower.co.uk
ERITHMITIC INC,Other Technology,erithmitic.com,NEW YORK,NY,10001,(212) 858-9099,2021,4,ATIT JARIWALA,SOLOMON GARBER,6050000,6050000,Series A,13-05-2021,,,,,,info@erithmitic.com; people@erithmitic.com; hello@erithmitic.com; deals@erithmitic.com
ESPERANZA CAPITAL LLC,Other,esperanzacapital.com,COSTA MESA,CA,92627,(949) 300-7311,2024,1,"* Cable Capital Ventures, LLC, * Esperanza Advisors, LLC, Brady Butcher, Wade Cable",,13051000,2900000,Pre-Seed,21-11-2024,,,,,,info@esperanzacapital.com
ESSENTIAL REMEDIUM CORP,Other Health Care,essentialremedium.com,NEW YORK,NY,10111,(516) 888-8800,2013,12,"Alexander Sepper, Dennis Tubian",,1250000,1250000,Pre-Seed,23-02-2015,,,,,,info@erc.global
ESPEROS INC,Other,esperos.com,AUSTIN,TX,78701,(512) 498-4382,2016,9,"Natalie Corace, Sid Jawahar",,4000000,4000000,Seed,10-07-2019,,,,,,iorpara@yahoo.com
ESSENVIA INC,Other Technology,essenvia.com,WOODLAND HILLS,CA,91303,(551) 795-1908,2020,5,Soumya Mahapatra,Basant Sahoo,5482496,5482496,Series A,01-03-2023,,,,,,support@essenvia.com
