company_name,industry,website,city,state,zip_code,phone,year_incorporated,company_age_years,executive_officers,board_directors,total_funding,latest_funding_amount,latest_funding_stage,latest_funding_date,Total Approvals,Total Denials,Approval_Rate,median_salary_offered,top_job_titles_sponsored
EXPANSION AMMUNITION COMPONENT FUND LP,Manufacturing,,CARROLLTON,TX,75006,(469) 480-7177,2016,9,Richard A. Smissen,,,,,,,,,,
EXPANSION INDUSTRIES AMMUNITION COMPONENT FUND LP,Manufacturing,,MCKINNEY,TX,75070,(469) 640-6224,2016,9,Richard A. Smissen,,,,,,,,,,
EXPANSION TECHNOLOGIES INC,Biotechnology,expansiontechnologies.com,CAMBRIDGE,MA,2139,(617) 228-5720,2015,10,,"Edward Boyden, Oded Kadosh, Tamar Erdfarb",3500000,1500000,Pre-Seed,27-10-2017,,,,,
EXPANSION THERAPEUTICS INC,Pharmaceuticals,expansiontherapeutics.com,DEL MAR,CA,92014,(650) 430-5836,2016,9,"Kevin Forrest, Kevin Forrest, Ph.D., Paul Stone, Scott Rocklage","Beth Seidenberg, M.D., Campbell Murray, M.B.B.S., M.B.A., Jason Hafler, Matthew Disney, Matthew Disney, Ph.D., Scott Rocklage, Ph.D., Yujiro Hata, Yujiro Hata, M.B.A.",64305863,55305863,Series B,18-12-2017,,,,,
EXPEDITION BAIKAL LLC,Other,,NEW YORK,NY,10011,(646) 765-7892,2012,13,John A. Corso,,10000000,10000000,Pre-Seed,01-12-2014,,,,,
EXPEDITION TOPCO LLC,Other Technology,,SAN FRANCISCO,CA,94123,(415) 439-1400,2017,8,"ADAM H. CLAMMER, MATTHEW C. WILSON",,146600030,53500000,Series C,26-01-2018,,,,,
EXPERFY INC,Other Technology,experfy.com,BOSTON,MA,2134,(617) 642-5833,2010,15,Harpreet Singh,Sarabjot Kaur,1500000,1500000,Pre-Seed,27-02-2015,,,,,
EXPERIENCE 1 INC,Other,experience-1.com,NEWPORT BEACH,CA,92660,(949) 475-3752,2009,16,"Michael Tafoya, Peter Derbonne","Eric Swenson, Jay Gaskill, Joel Mecklenburg",,,,,,,,,
EXPERIENCE CARRIE LA LLC,Other,,LOS ANGELES,CA,90067,(310) 553-3711,2015,10,"Bruce Robert Harris, Jack W Batman, Michael Brady Schwind",,1950000,1950000,Pre-Seed,21-07-2015,,,,,
EXPERIENCE CISSE LTD,Other,,MAMARONECK,NY,10543,(917) 348-4525,2012,13,Diana Lovett,"Andrew Scharf, Barbara Clark, Dana Wright, Jeremy Freeman, Kellee Joost, Marc Shedroff, Scott Morris",4538307,1500000,Pre-Seed,16-02-2016,,,,,
EXPERIENTIAL INSIGHT INC,Business Services,experientialinsight.com,San Francisco,CA,94115,(206) 450-5274,2019,6,Nishika de Rosairo,,2000000,2000000,Pre-Seed,22-07-2021,,,,,
EXPERIMENT ENGINE INC,Other Technology,,AUSTIN,TX,78749,(512) 782-9772,2014,11,"Claire E Vo, Edward J Lawless",,1200000,1200000,Pre-Seed,12-11-2014,,,,,
EXPERT MEDICAL NAVIGATION INC,Other Technology,,Tiverton,MA,2878,(508) 676-3292,,,"Fiona Calnan, Ibrahim Eid, Richard Mateus","Anthony Comerato, Joseph White, Naji Abumrad",2000000,2000000,Pre-Seed,27-02-2024,,,,,
EXPERTCONNECT LLC,Business Services,expertconnect.com,EMERYVILLE,CA,94608,(917) 545-7325,,,Eric Broyles,"Al Dobron, Amin Khoury, David Krasne, Robert Sargent",2500000,2500000,Pre-Seed,29-04-2016,,,,,
EXPLAIN EVERYTHING INC,Other Technology,explain-everything.com,NEW YORK,NY,10018,(201) 970-5295,2015,10,"Bartosz Gonczarek, Boleslaw Harok, Piotr Sliwinski, Reshan Richards","Jan Habermann, Piotr Sliwinski, Reshan Richards",6800000,4800000,Seed,02-12-2016,,,,,
EXPLODING KITTENS INC,Other,explodingkittens.com,LOS ANGELES,CA,90036,(424) 299-8900,2019,6,"Carly Elan McGinnis, Zach Elan Schiff-Abrams","Brian Elan Lee, Jesse Elan Jacobs, Matthew Elan Inman",20000010,20000010,Series B,24-04-2019,,,,,
EXPLORAMED NC6 INC,Other Health Care,,MOUNTAIN VIEW,CA,94040,(650) 472-0302,2013,12,"Joshua Makower, Stefano Curti","John Nehra, Ryan Drant, Yi Li, Zhi Yang",14999999,14999999,Series A,13-01-2014,,,,,
EXPLORAMED NC7 INC,Other Health Care,,MOUNTAIN VIEW,CA,94040,(650) 472-0300,2014,11,"Andrew W Chmyz, Andrew W. Chmyz, Laura Chambers, Naomi G. Kelman, Naomi Kelman","Ivy W Ross, Joshua Makower, Joshua W. Makower, Michael Carusi, Michael Chuisano, Michael K. Carusi, Nina W Richardson, Nina W. Richardson, Robert Anderson, Robert Croce, Robert K. Anderson, Robert W Croce, Robert W. Croce, Ryan Drant, Stacy W Feld, Stacy W. Feld",123337492,45169431,Series B,16-09-2020,,,,,
EXPLORAMED V LLC,Other Health Care,,MOUNTAIN VIEW,CA,94040,(650) 472-0304,2017,8,"Earl A. Bright, II","Ivy A. Ross, Joshua A. Makower, Nina A. Richardson, Robert A. Anderson, Robert W. Croce",8756650,8756650,Series A,26-07-2017,,,,,
EXPLORATION LABS INC,Other,explorationlabs.com,SAN FRANCISCO,CA,94114,(408) 747-7545,2014,11,"JASON LEW, SHANE WEY",Andy Sack,1300000,1300000,Pre-Seed,10-11-2014,,,,,
EXPLORATION TECHNOLOGIES INC/DE,Other Technology,,SAN DIEGO,CA,92104,(269) 823-4100,2023,2,"Alexander Miltenberger, Tyler Hall",Zach Fredericks,2000000,2000000,Pre-Seed,24-02-2025,,,,,
EXPLORER COLD BREW INC,Other,explorercoldbrew.com,BROOKLYN,NY,11249,(609) 902-3201,2021,4,"P. Cason Crane, Philip Cason Crane",Matthew Cason Adams,5270351,1050751,Pre-Seed,09-12-2024,,,,,
EXPLORER SURGICAL CORP,Other Technology,explorersurgical.com,CHICAGO,IL,60654,(312) 324-8400,2015,10,"Eugene Fine, Jennifer Fried, Tom Knight","Anne Sissel, Denis Harrington, Immanuel Thangaraj, Kris Johnson, Kristine Johnson, Kurt Azarbarzin, Ned Scheetz",12768913,3500000,Seed,31-03-2021,,,,,
EXPLOREX TECHNOLOGIES INC,Other Technology,,SAN FRANCISCO,CA,94114,91 80 49913413,2020,5,,"Pritam Khan, Taher Savliwala",4982100,4982100,Seed,12-05-2022,,,,,
EXPO EVENT HOLDCO INC,Business Services,,NEW YORK,NY,10019,(212) 582-2211,2013,12,"Amir Motamedi, Kosty Gilis","David Loechner, Jeffrey G. Naylor",1000000,1000000,Pre-Seed,26-02-2014,,,,,
EXPOND INC,Other,expond.com,SANTA BARBARA,CA,93103,(805) 705-5970,2021,4,Jason Baker,,2000000,2000000,Pre-Seed,28-06-2024,,,,,
EXPRESS BURLESQUE LTD LIABILITY CO,Other,,NEW YORK,NY,10019,(212) 307-0800,2022,3,"Lawrence Rogowsky, Suzanne Gilad",,9000000,9000000,Series A,12-09-2023,,,,,
EXPRESSABLE INC,Other Technology,expressable.com,AUSTIN,TX,78752,(512) 768-0319,2020,5,"Benjamin Pincus, Leanne Sherred, Nicholas Barbara, Ryan Hinojosa, Spencer Magloff","Brett Cook, Michael Guiness",48517219,28158177,Series B,03-05-2024,,,,,
EXSILIO THERAPEUTICS INC,Other Health Care,,NEW YORK,NY,10022,972 73 2822600,2022,3,"Anat Nursella, Roy Amariglio","Alex Harding, Dylan Morris, Henry Chen, Stephen Squinto, Tal Zaks, M.D., Ph.D.",85000000,85000000,Series B,08-04-2024,,,,,
EXSOMED CORP,Other Health Care,exsomed.com,Aliso Viejo,CA,92656,(855) 397-6633,2018,7,"Daniel E. Mickelsen, James E. Houlihan, William E. Maya",Thomas H. Curzon,17420895,8500000,Pre-Seed,10-01-2020,,,,,
EXT ACQUISITIONS INC,Other,,SAN MATEO,CA,94402,(650) 358-5000,2013,12,"Ingrid C. Swenson, Jeffrey M. Drazan","Kevin C. Yamashita, Kevin M. Yamashita",67989659,12030775,Series A,07-01-2016,,,,,
EXTEN TECHNOLOGIES INC,Other Technology,,AUSITN,TX,78727,(512) 879-9241,,,"Ashwin Kamath, Craig Gilmore","Colette LaForce, David Butze, Mikael Loefstrand, Shankar Ramamurthy, Surendra Verma, Vivek Mohindra",17327367,1925000,Pre-Seed,18-09-2019,82,4,95.34883721,102440,"[' Senior Software Engineer', 'Computer Programmer', 'Web Developer', 'Web Developer ', 'Business Analyst']"
EXTEND ENTERPRISES INC,Other Technology,,NEW YORK,NY,10010,+1 (631) 7710090,2017,8,"Andrew Jamison, Daniel Morrow, Guillaume Bouvard","Alfredo Gangotena, Daniel Marrow, Daniel Morrow, Gareth Jones, Guillaume Bouvard, Joshua Kuzon, Richard Shriner, III, Sami Ahmad, Solomon Hailu",31057152,16792152,Series A,20-12-2024,,,,,
EXTEND INC,Other,extend.com,Walnut,CA,91789,(650) 815-2675,2018,7,"Joseph H. Moss, Nicole Love Doppelt, Pedro H. Rodriguez, Rob H. Pfeifer, Trevor H. Zehnder, Woodrow H. Levin","Alex H. Clayton, Andrea H. Weiss, Andrew H. Perlman, Jason H. Robbins, Jason H. Robins, Joseph H. Moss, Nagraj H. Kashyap",331070062,20405184,Series B,09-08-2021,36,2,94.73684211,120000,"['Senior Human Resources Business Partner', 'Lead Data Scientist', 'Data Scientist, Advanced Analytics', 'Data Scientist, Revenue Analytics', 'Data Scientist, Machine Learning']"
EXTENDTV INC,Other Technology,extendtv.com,MALIBU,CA,90265,(310) 980-3325,2013,12,"John Hadl, Mark Goldman","Jacques Benkoski, Rob Weisbord",4424998,4424998,Seed,15-04-2015,,,,,
EXTHERA MEDICAL CORP,Other Health Care,extheramedical.com,MARTINEZ,CA,94553,(925) 839-2060,,,"Erin Borger, George Pitarra, Kathleen White, Keith McCrea, Lakhmir S. Chawla, Michael S. Benjamin, Michael S. DiMeo, Robert S. Ward, Robert Ward","Eber Jaques, Erin S. Borger, Greg S. Dollarhyde, Jacqueline S. Price, John Feik, John Preston, John S. Preston, Lakhmir Chawla, Lakhmir S. Chawla, Michael S. Porter",77048018,1527456,Pre-Seed,12-08-2024,,,,,
EXTHYMIC CORP,Other Health Care,exthymic.com,SAN DIEGO,CA,92121,(717) 330-7595,2023,2,Rich Stoner,,10249992,10249992,Series A,30-04-2024,,,,,
EXTO INC,Other Technology,exto.com,KENSINGTON,CA,94707,(650) 761-7385,2022,3,Zane Salim,Sri Vetri Balaji Sadasivam,9150981,9150981,Series A,25-08-2023,,,,,
EXTOLE INC,Other,extole.com,SAN FRANCISCO,CA,94104,(415) 237-1963,2009,16,"Carol Foster, Erik Zech, MATTHEW ROCHE, Matthew Roche","Chris Moore, Gustavo Alberelli, JEFF CROWE, Jeff Crowe, STACEY BISHOP, Stacey Bishop",26983176,4466588,Seed,27-03-2017,,,,,
EXTRACKER INC,Other Technology,extracker.com,Lafayette,CA,94549,(408) 835-9850,2018,7,"Brett Umberg, Cameron Page, Steve Klei",Uri Pomerantz,8054997,7054997,Series A,14-04-2021,,,,,
EXTRAHOP NETWORKS INC,Other Technology,extrahop-networks.com,Seattle,WA,98101,(877) 333-9872,,,"Arindum Mukerji, Jesse Rothstein, Palvi Mehta","George Bischof, Matt McIlwain, Sujal Patel, Theodore Coons",28499987,28499987,Series B,20-05-2014,,,,,
EXTRAPRISE GROUP INC,Other,,BOSTON,MA,2110,(617) 880-4000,,,"Christine Dostal, Michael Shanker","David Mahoney, Joseph McCullen, Jr., Kenneth Marshall, Mark Koulogeorge",3003045,3003045,Seed,31-12-2013,,,,,
EXTREME REACH INC,Other Technology,extremereach.com,NEEDHAM,MA,2494,(781) 577-2016,,,"Avi Brown, John Roland, Patrick Hanavan, Timothy A Conley, Timothy Conley, Timothy Maguire","Jake D Heller, Jake Heller, James D Quagliaroli, Michael A Barach, Michael Barach, Nils Larsen, Thomas D MacIsaac, Word D Peake",105532351,56532353,Series C,15-06-2015,18,0,100,141000,"['Senior Software Developer', 'Software Developer']"
EXXSUN CORP,Electric Utilities,exxsun.com,NEWTON,MA,2459,(646) 939-2870,,,,,,,,,,,,,
EYCONIS INC,Other,eyconis.com,REDWOOD CITY,CA,94065,(650) 325-5156,2023,2,"Anna Chen, Daniel Estes, Emmett Cunningham, Gordon Moller Empey, Oliver Boris Stauch","Conrad Wang, Jan Moller Mikkelsen, Yvonne Yamanaka",150001250,150001250,Series C,26-01-2024,,,,,
EYDLE INC,Other Technology,eydle.com,PASADENA,CA,91107,(626) 514-0705,2020,5,Ashwini Rao,Birendra Jha,,,,,,,,,
EYE C BETTER CORP,Other Health Care,eyecbetter.com,INDIO,CA,92201,(442) 400-9836,2021,4,Chadwick James Wasilenkoff,Joel Molina Solano,26000000,26000000,Pre-Seed,14-09-2021,,,,,
EYE CARE INTERNATIONAL LLC,Biotechnology,,CAMBRIDGE,MA,2139,(925) 408-4450,,,"Elan Weiner, Ronald Gentile","Evan Myrianthropolous, Lloyd Hildebrand",5000000,2500000,Pre-Seed,02-05-2024,,,,,
EYE MACHINE LLC,Other Health Care,eyemachine.com,INDIAN WELLS,CA,92210,(760) 565-1760,2014,11,"GEORGE O'CLOCK, LANTSON ELDRED, RYAN MCNEIL, WENDY STROUSE WATT",,26250000,7000000,Pre-Seed,22-04-2016,,,,,
EYE OF THE COSMOS LLC,Other,eyeofthecosmos.com,NEW YORK,NY,10023,(310) 795-0495,2024,1,"Andrew Koenigsberg, Janet Brenner, Laura Ivey",,3500000,3500000,Pre-Seed,07-09-2024,,,,,
EYEBALLS FINANCIALLLC,Other Technology,,NEWPORT BEACH,CA,92660,(949) 254-2487,2018,7,,Bonnie Campbell Morrison,2000000,2000000,Pre-Seed,05-07-2022,,,,,
EYEBRAIN MEDICAL INC,Other Technology,eyebrainmedical.com,NEWPORT BEACH,CA,92663,(949) 677-2017,2012,13,"Daniel Perales, Davis Andy Corley, Davis Corley, J. Andy Corley","Dean Butler, John T. Tullis, Steve T. Kirby, Tom Frinzi, William T. Link",45040479,23999998,Series B,24-07-2019,,,,,
EYECANDYLAB CORP,Other Technology,eyecandylab.com,LOS ANGELES,CA,90038,(310) 293-2457,2018,7,Robin Sho Moser,"Patrick Sho Guerra, Sascha Sho Ahmann",2195000,2195000,Pre-Seed,18-07-2019,,,,,
EYEDAPTIC INC,Other Technology,eyedaptic.com,LAGUNA NIGUEL,CA,92677,(978) 809-0678,2016,9,"David Watola, Jay Cormier, Mitul Mehta","Arthur Reidel, Gerald Fitch",2000000,1000000,Pre-Seed,26-02-2021,,,,,
EYEGATE PHARMACEUTICALS INC,Pharmaceuticals,,WALTHAM,MA,2452,(781) 788-9043,,,"Brian Strem, Ryan Brenneman, Sarah Romano, Stephen From","Aron Shapiro, Bernard E. Malfroy-Camine, Bernard Malfoye-Camine, Bernard Malfroy-Camine, Keith Maher, Kenneth Gayron, Morton Goldberg, Mounia Chaoui, Mounia E. Chaoui, Paul Chaney, Praveen F. Tyle, Praveen Tyle, Steven Boyd, Thomas Balland, Thomas F. Balland, Thomas Hancock",29012563,10750013,Series A,09-08-2021,,,,,
EYEGROOVE INC,Other Technology,,SANTA CLARA,CA,95054,(415) 822-1442,2013,12,Snibbe Scott,"Amarjit Gill, Matthew Papakipos",2500000,2500000,Seed,16-01-2015,,,,,
EYEGUIDE INC,Other Technology,eyeguide.com,LUBBOCK,TX,79412,(484) 930-0549,,,"Brian J. Still, Greg J. Gamel, Joyce J. Carter, Patrick J. Carney","Jerry J. Webb, Ronny J. Wall",2000000,2000000,Pre-Seed,29-01-2018,,,,,
EYENETRA INC,Other Technology,eyenetra.com,Somerville,MA,2143,(973) 229-3341,2011,14,"David Robert Schafran, Steven Carlson","Euan Robert Thomson, Jim Robert McGrann, Ramesh Raskar, Srikanth Nadhamuni",4000005,4000005,Seed,23-07-2014,,,,,
EYENOVIA INC,Pharmaceuticals,eyenovia.com,NEW YORK,NY,10017,(917) 289-1117,,,"John Gandolfo, Tsontcho Ianchulev","Charles Mather, Curt LaBelle, Ernest Mario, Fredric Eshelman, Kenneth Lee",5985000,5985000,Series A,24-03-2020,,,,,
EYENUK INC,Other Health Care,eyenuk.com,WOODLAND HILLS,CA,91367,(818) 835-3585,2013,12,"Frank Cheng, Kaushal Solanki","Manish Potti, Marie-Louise Little, Martin Coyne, Robert Binney, Zina Affas Besse",35214312,26928767,Series B,03-08-2022,,,,,
EYEPOINT PHARMACEUTICALS INC,Pharmaceuticals,,WATERTOWN,MA,2472,(833) 393-7646,,,"Dario Paggiarino, M.D., Dario S. Paggiarino, George O. Elston, Leonard S. Ross, Nancy Lurker, Scott Jones","David Mazzo, David R. Guyer, M.D., Douglas Godshall, Douglas W. Godshall, Goran Ando, Jay Duker, Kristine Peterson, Michael Rogers, Ronald W. Eastman, Wendy O. DiCicco",50704829,15704829,Series B,31-12-2020,,,,,
EYERATE INC,Other Technology,eyerate.com,ELK GROVE,CA,95758,(916) 588-8256,2019,6,"Michael Arrendondo, Raymond Weisberg","Jacqui Deegan, Mitchell Arrendondo, Sabya Das",5749919,5749919,Seed,10-02-2023,,,,,
EYES 4 LIVES INC,Other Technology,,LA HABRA,CA,90631,(877) 393-7454,,,Roger L. Wu,,2774000,2774000,Seed,10-07-2010,,,,,
EYESFINDER LLC,Other Technology,,WESTLAKE VILLAGE,CA,91361,(650) 814-9620,2013,12,Ole Eichhorn,,1000000,1000000,Pre-Seed,28-05-2014,,,,,
EYEVANCE HOLDINGS LLC,Other,,FORT WORTH,TX,76102,(817) 677-6282,2017,8,"Jason Werner, Jerry St. Peter, Wes Brazell","James Flexner, Matthew Heck, Terence Cook, Thomas Vandervort",30009040,30009040,Series B,24-09-2019,,,,,
EYEVIEW INC,Other Technology,eyeview.com,NEW YORK,NY,10003,(000) 000-0000,,,"Brian Pozesky, Christina Calvaneso, Gabi Peles, Gal Barnea, Jeff Fagel, Oren Harnevo","David Kahane, Dominic Endicott, Erez Shachar, James Beriker, Menashe Ezra, Ohad Finkelstein, Richard Scanlon, Tal Riesenfeld",74275000,19375000,Series A,04-06-2018,,,,,
EYLAND SPIRITS INC,Other,,New York,NY,10036,(347) 315-2960,,,"Andrew Tow, Roger Lang","Andrew Laursen, Zachary Miller",3000000,3000000,Seed,11-02-2021,,,,,
EZACCESSMD LLC,Other Health Care,ezaccessmd.com,ROCHESTER,NY,14623,(855) 687-3963,2016,9,"Kevin Phelps, William Irwin","Lois Irwin, Peter Powers",1200000,1200000,Pre-Seed,24-04-2018,,,,,
EZCATER INC,Other,ezcater.com,BOSTON,MA,2109,(800) 488-1803,2011,14,"Diane R. Musi, E. Briscoe Rodgers, Edward Briscoe Rodgers, James Briscoe Rosenstock, Robert Briscoe Cruickshank, Stefania Mallett, Stefania Nappi Mallett","Arsham R. Memarzadeh, Bradley Briscoe Twohig, Charles Briscoe Cory, Christopher Briscoe Cuddy, Christopher Michael Cuddy, Douglas Briscoe Suliman, Douglas M. Suliman, Jr., Douglas Michael Suliman, Emily Briscoe Keeton, Emily M. Keeton, Greg Briscoe Stanger, Greg M. Stanger, Harley Briscoe Miller, Michael Briscoe Masterson, P. Michael Masterson",419322287,103399723,Series D+,08-12-2021,,,,,
EZPAYIT INC,Other Banking and Financial Services,,HOLLY LAKE RANCH,TX,78765,(903) 240-1982,2013,12,Jim Paullus,,4000000,2000000,Pre-Seed,31-08-2017,,,,,
EZRA CLIMATE INC,Other,ezraclimate.com,COVINA,CA,91723,(707) 395-5387,2024,1,"Daniel Rosen, Dori Rutkevitz",Eliza Cushman,8817383,8817383,Series A,09-05-2025,,,,,
EZRAIDER CO,Other,ezraider.com,KENT,WA,98032,(833) 724-3378,,,Moshe Azarzar,"Elliot Mermel, Yoav Tilan",1320000,1320000,Pre-Seed,14-09-2021,,,,,
F-101 INC,Other Technology,f-101.com,NEW YORK,NY,10025,(917) 601-3645,2013,12,Thomas Melcher,,3999993,2000000,Pre-Seed,20-06-2018,,,,,
F0CAL INC,Other Technology,f0cal.com,CAMBRIDGE,MA,2129,(617) 869-7657,2017,8,Brian Rossa,Michael Berolzheimer,3500000,2500000,Pre-Seed,24-05-2018,,,,,
F9 SYSTEM INC,Other Technology,f9system.com,LACEY,WA,98513,(360) 951-9948,2023,2,Thien Pham,,,,,,,,,,
FAB CO-CREATION VENTURES LLC,Investing,,SAN FRANCISCO,CA,94114,14159391105,2019,6,Odile Roujol,,10000000,10000000,Seed,07-05-2020,,,,,
FAB FITCH DEVELOPMENT LTD LIABILITY CO,Other,,NEW YORK,NY,10036,(212) 730-9500,2016,9,Michael Alden,,,,,,,,,,
FABELS HOSPITALITY EAST LLC,Other,,LOS ANGELES,CA,90034,(312) 291-1382,2024,1,Matthew Rosenberg,,10000000,10000000,Pre-Seed,15-02-2024,,,,,
FABFITFUN INC,Other,fabfitfun.com,BEVERLY HILLS,CA,90211,(310) 625-7026,2015,10,"Daniel Broukhim, Michael Broukhim",Mood Rowghani,103502430,99999990,Series C,14-01-2019,18,0,100,104000,"['Analyst, Analytics']"
FABFOREDEV LLC,Other Technology,fabforedev.com,TAPPAN,NY,10983,(917) 797-1211,2014,11,Martin Rottmann,,1000000,1000000,Pre-Seed,15-11-2017,,,,,
FABLE GROUP INC,Other,fablegroup.com,PALO ALTO,CA,94304,(650) 209-5705,2019,6,Padmasree Warrior,,28797555,19999984,Series B,08-11-2021,,,,,
FABLE INC,Other,fable.com,NEW YORK,NY,10003,(201) 292-7651,2018,7,Chris Boardman,"Annie Kadavy, Guy Vidra, Justin Turkat",14999989,14999989,Series A,27-09-2021,,,,,
FABLE PETS INC,Other,fablepets.com,NEW YORK,NY,10010,(929) 263-4448,2018,7,"Jeremy Canade, Sophie Bakalar",Nancy Flewelling,9923699,9923699,Series A,15-12-2021,,,,,
FABRI INC,Other Technology,fabri.com,BOSTON,MA,2215,(617) 834-4566,2022,3,"Steven Davis, Thomas Cole",Alex Poulin,5199997,5199997,Series A,22-11-2024,,,,,
FABRIC GLOBAL PBC,Other,,GLENDALE,CA,91208,(303) 908-6730,2018,7,"Sarah Kass, Saul Garlick","Aaron Zucker, John Lunt, Winston Churchill",7998294,5072738,Seed,30-12-2024,,,,,
FABRIC OF TRUTH INC,Other Technology,fabricoftruth.com,SANTA CLARA,CA,95050,(415) 254-7688,2023,2,"Tina Ju, Zijing (Michael) Gao","David Garrett, Kuo Wei Chang, Wei Dai, Yuan Han Li",30000000,30000000,Series B,22-03-2024,,,,,
FABRIC8LABS INC,Other Technology,fabric8labs.com,SAN DIEGO,CA,92121,(760) 505-9695,2016,9,"David Pain, Jeffrey Herman","Cyril Vancura, David Pain, Greg Papadopoulos, Jennifer Ard",76366124,52774715,Series C,30-09-2022,,,,,
FABRICA INC,Other,fabrica.com,SAN FRANCISCO,CA,94111,(415) 322-0656,2017,8,Federico Filippo Pomi,Simone Filippo Brunozzi,2799110,2799110,Seed,17-01-2020,,,,,
FACE IN THE CROWD DEVELOPMENT LTD LIABILITY CO,Other,,NEW YORK,NY,10036,(212) 578-0828,2015,10,"Colin Callender, Scott Landis, Scott Zeilinger",,1000000,1000000,Pre-Seed,29-12-2015,,,,,
FACE TO FACE BROADWAY LLC,Other,,NEW YORK,NY,10036,(212) 768-8255,2016,9,"David Stone, Marc Platt",,22000000,11000000,Series A,30-11-2016,,,,,
FACEBANK GROUP INC,Other Technology,,New York,NY,10010,(561) 826-9307,,,"David Gandler, John Textor",Alexander Bafer,539816845,539816845,Series D+,01-04-2020,,,,,
FACEBOOK INC,Other Technology,facebook.com,MENLO PARK,CA,94025,(650) 618-7714,,,"Christopher K Cox, Colin S Stretch, David B Fischer, David M Wehner, Sheryl K Sandberg","Donald E Graham, Erskine B Bowles, Jan E Koum, Marc L Andreessen, Reed E Hastings",13787117488,13787117488,Series D+,06-10-2014,,,,,
FACEFIRST INC,Other Technology,facefirst.com,AUSTIN,TX,78758,(818) 540-9800,2015,10,"Daniel Merkle, Dara G. Riordan, Joseph Rosenkrantz, Peter Trepp, Tim G. Wall, Tom Doyl Melzl","Ajit Doyl Kumbhare, Bob Allison, Cameron Akers, Doyl Burkett, James Doyl Burkett, Kurt G. Lee, Kurt Lee, Mike Murphy, Peter Doyl Wollons, Peter Wollons, Robert G. Allison",35920607,7652556,Series A,13-03-2024,,,,,
FACEPAY INC,Other,facepay.com,Mountain View,CA,94041,(408) 209-8386,,,Mark Hale,,2999995,1500000,Pre-Seed,02-03-2021,,,,,
FACETORY INC,Other,facetory.com,FULLERTON,CA,92833,(310) 961-3835,2021,4,"Chan Ho Park, Sang Lee","Chan Park, Edward Ho Kim, Edward Kim, John Ho Nahm, John Nahm, Sebastian Ho Kocsis",5500000,4000000,Seed,17-05-2021,,,,,
FACILE SKINCARE INC,Other,,LOS ANGELES,CA,90036,(415) 392-1960,2025,0,Danielle Nadick Levy,Kenneth Nadick Suslow,2999999,2999999,Seed,23-06-2025,,,,,
FACTAL INC,Other Technology,factal.com,SEATTLE,WA,98104,(425) 761-4065,2017,8,"Benjamin Tesch, Charles Tillinghast, Cory Bergman","Ben Tesch, Cory Bergman, Patrick Meenan",2200001,1000000,Pre-Seed,08-10-2024,,,,,
FACTOM INC,Other Technology,factom.com,AUSTIN,TX,78731,(443) 285-9111,2015,10,"Brian Deery, David Johnston, Paul Snow, Peter Kirby, Xujun (Jack) Lu, Zachary Lynde","Brian Deery, David Johnston, Paul Snow, Steve Hopkins, Tina Lawrence, Zhiyong Qin",29218406,15000000,Series A,20-07-2018,,,,,
FACTOR BIOSCIENCE LLC,Biotechnology,factorbioscience.com,CAMBRIDGE,MA,2141,(781) 640-1031,,,Matthew Angel,Christopher Rohde,5000000,5000000,Pre-Seed,15-09-2025,2,0,100,68000,"['Associate Scientist, Molecular Biology and Gene Editing']"
FACTOR LAW INC,Other,factorlaw.com,CHICAGO,IL,60603,(872) 215-3032,2019,6,"John Dillon, Varun Mehta","Alec Guettel, Carol Lindstrom, Jim Madden, Mark Harris",36318547,36318547,Series B,23-09-2020,,,,,
FACTORCHAIN INC,Other Technology,factorchain.ai,PORTOLA VALLEY,CA,94028,(408) 307-0870,2014,11,"Brendan O'Connell, David Frampton, Kenny Tidwell","Michael Dauber, Mike Dauber",3634997,3634997,Seed,12-08-2015,,,,,
FACTORED QUALITY INC,Other Technology,factoredquality.com,AUSTIN,TX,78704,(408) 918-4512,2021,4,"Justin Seidenfeld, Lucas Fridman, Lucas Lappe, Prince Ghosh",,5697000,5697000,Series A,14-01-2022,,,,,
FACTORY CLEANING EQUIPMENT LLC,Other,factorycleaningequipment.com,AURORA,IL,60502,(704) 877-9770,2025,0,RICHARD J. SCHOTT,,1600000,1600000,Pre-Seed,16-05-2025,,,,,
FACTORYFIX INC,Other Technology,factoryfix.com,CHICAGO,IL,60618,(630) 220-4480,2017,8,Patrick O'Rahilly,"Chad Halvorson, Daniel Einhorn, Eli Blee-Goldman, Julia Taxin, Ryan Weber",14549753,9999753,Series A,17-12-2021,,,,,
FACULTY WORLD INC,Other,,SAN FRANCISCO,CA,94103,(415) 517-0667,2019,6,"Fenton Jagdeo, Umar ElBably",,3000000,3000000,Pre-Seed,07-04-2021,,,,,
FAIR FINTECH INC,Other Banking and Financial Services,,HOUSTON,TX,77074,(713) 484-7786,2020,5,Khalid Parekh,,20020000,20020000,Series A,16-11-2020,,,,,
FAIR ISLE BREWING LLC,Other,fairislebrewing.com,SEATTLE,WA,98199,(206) 604-1317,2016,9,"Andrew Steven Pogue, Geoffrey David Barker",,1472500,1472500,Pre-Seed,23-11-2016,,,,,
FAIR LAKES HOTELS COMPANY LLC,Lodging and Conventions,,SYRACUSE,NY,13202,(315) 471-2181,2014,11,"John F O'Brien, Michael J Falcone, Michael P Falcone","Fair Lakes Hotels Manager, LLC",,,,,,,,,
